Player,Team,Conference,Date,Position,Height,Weight,Age,Draft_Year,Seasons_in_league,Season,Season_short,Pre_draft_Team,Real_value,Height_CM,Weight_KG,Last_Season
Ben Simmons,Philadelphia Sixers,East,20-Jan-20,PF,6'10,230,23,2016,3,2019-2020,2020,LSU,0.5,208,104,1
Kawhi Leonard,Los Angeles Clippers,West,20-Jan-20,F,6'7,230,28,2011,8,2019-2020,2020,San Diego State,0.5,201,104,1
Josh Richardson,Philadelphia Sixers,East,13-Jan-20,G,6'6,200,26,2015,4,2019-2020,2020,Tennessee,0.5,198,90,1
DeMar DeRozan,San Antonio Spurs,West,13-Jan-20,GF,6'7,220,30,2009,10,2019-2020,2020,USC,0.5,201,99,1
Giannis Antetokounmpo,Milwaukee Bucks,East,6-Jan-20,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
LeBron James,Los Angeles Lakers,West,6-Jan-20,F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
Jaylen Brown,Boston Celtics,East,30-Dec-19,SF,6'7,220,23,2016,3,2019-2020,2020,California,0.5,201,99,1
Brandon Ingram,New Orleans Pelicans,West,30-Dec-19,SF,6'9,190,22,2016,3,2019-2020,2020,Duke,0.5,206,86,1
Kyle Lowry,Toronto Raptors,East,23-Dec-19,PG,6'1,196,33,2006,13,2019-2020,2020,Villanova,0.5,185,88,1
Dennis Schroder,Oklahoma City Thunder,West,23-Dec-19,PG,6'1,172,26,2013,6,2019-2020,2020,Basketball Lowen Braunschweig (Germany),0.5,185,78,1
Bam Adebayo,Miami Heat,East,16-Dec-19,C,6'10,255,22,2017,2,2019-2020,2020,Kentucky,0.5,208,115,1
LeBron James,Los Angeles Lakers,West,16-Dec-19,F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
Jimmy Butler,Miami Heat,East,9-Dec-19,GF,6'8,232,30,2011,8,2019-2020,2020,Marquette,0.5,203,105,1
Anthony Davis,Los Angeles Lakers,West,9-Dec-19,PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
Giannis Antetokounmpo,Milwaukee Bucks,East,2-Dec-19,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
Carmelo Anthony,Portland Trail Blazers,West,2-Dec-19,F,6'8,240,35,2003,16,2019-2020,2020,Syracuse,0.5,203,108,1
Spencer Dinwiddie,Brooklyn Nets,East,25-Nov-19,PG,6'6,210,26,2014,5,2019-2020,2020,Colorado,0.5,198,95,1
Luka Doncic,Dallas Mavericks,West,25-Nov-19,SF,6'7,218,21,2018,1,2019-2020,2020,Real Madrid (Spain),0.5,201,98,1
Nikola Vucevic,Orlando Magic,East,18-Nov-19,PF,7'0,260,29,2011,8,2019-2020,2020,USC,0.5,213,118,1
James Harden,Houston Rockets,West,18-Nov-19,SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
Pascal Siakam,Toronto Raptors,East,11-Nov-19,F,6'9,230,25,2016,3,2019-2020,2020,New Mexico State,0.5,206,104,1
James Harden,Houston Rockets,West,11-Nov-19,SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
Giannis Antetokounmpo,Milwaukee Bucks,East,4-Nov-19,F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
Anthony Davis,Los Angeles Lakers,West,4-Nov-19,PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
Trae Young,Atlanta Hawks,East,28-Oct-19,PG,6'2,180,21,2018,1,2019-2020,2020,Oklahoma,0.5,188,81,1
Karl-Anthony Towns,Minnesota Timberwolves,West,28-Oct-19,C,7'0,248,24,2015,4,2019-2020,2020,Kentucky,0.5,213,112,1
Kemba Walker,Charlotte Hornets,East,8-Apr-19,G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Russell Westbrook,Oklahoma City Thunder,West,8-Apr-19,G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Andre Drummond,Detroit Pistons,East,1-Apr-19,C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Damian Lillard,Portland Trail Blazers,West,1-Apr-19,G,6'3,195,28,2012,6,2018-2019,2019,Weber State,0.5,190,88,0
Trae Young,Atlanta Hawks,East,25-Mar-19,PG,6'2,180,20,2018,0,2018-2019,2019,Oklahoma,0.5,188,81,0
James Harden,Houston Rockets,West,25-Mar-19,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,18-Mar-19,SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Rudy Gobert,Utah Jazz,West,18-Mar-19,C,7'1,245,26,2013,5,2018-2019,2019,Cholet Basket (France),0.5,216,111,0
Andre Drummond,Detroit Pistons,East,11-Mar-19,C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Mike Conley,Memphis Grizzlies,West,11-Mar-19,PG,6'1,175,31,2007,11,2018-2019,2019,Ohio State,0.5,185,79,0
Ben Simmons,Philadelphia Sixers,East,4-Mar-19,PF,6'10,230,22,2016,2,2018-2019,2019,LSU,0.5,208,104,0
Donovan Mitchell,Utah Jazz,West,4-Mar-19,SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Bojan Bogdanovic,Indiana Pacers,East,11-Feb-19,F,6'8,216,29,2011,4,2018-2019,2019,KK Cibona (Croatia),0.5,203,98,0
Paul George,Oklahoma City Thunder,West,11-Feb-19,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,4-Feb-19,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Nikola Jokic,Denver Nuggets,West,4-Feb-19,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,28-Jan-19,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,28-Jan-19,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
D'Angelo Russell,Brooklyn Nets,East,21-Jan-19,SG,6'5,198,23,2015,3,2018-2019,2019,Ohio State,0.5,196,89,0
James Harden,Houston Rockets,West,21-Jan-19,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Kawhi Leonard,Toronto Raptors,East,14-Jan-19,F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Donovan Mitchell,Utah Jazz,West,14-Jan-19,SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Joel Embiid,Philadelphia Sixers,East,7-Jan-19,C,7'0,250,24,2014,4,2018-2019,2019,Kansas,0.5,213,113,0
Nikola Jokic,Denver Nuggets,West,7-Jan-19,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,31-Dec-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
James Harden,Houston Rockets,West,31-Dec-18,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,24-Dec-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,24-Dec-18,GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Thaddeus Young,Indiana Pacers,East,17-Dec-18,F,6'8,221,30,2007,11,2018-2019,2019,Georgia Tech,0.5,203,100,0
James Harden,Houston Rockets,West,17-Dec-18,SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,10-Dec-18,SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Stephen Curry,Golden State Warriors,West,10-Dec-18,G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kawhi Leonard,Toronto Raptors,East,3-Dec-18,F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Paul Millsap,Denver Nuggets,West,3-Dec-18,FC,6'8,246,34,2006,12,2018-2019,2019,Louisiana Tech,0.5,203,111,0
Giannis Antetokounmpo,Milwaukee Bucks,East,26-Nov-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Tobias Harris,Los Angeles Clippers,West,26-Nov-18,F,6'9,235,26,2011,7,2018-2019,2019,Tennessee,0.5,206,106,0
Nikola Vucevic,Orlando Magic,East,19-Nov-18,PF,7'0,260,28,2011,7,2018-2019,2019,USC,0.5,213,118,0
Anthony Davis,New Orleans Pelicans,West,19-Nov-18,PF,6'10,253,25,2012,6,2018-2019,2019,Kentucky,0.5,208,114,0
Pascal Siakam,Toronto Raptors,East,12-Nov-18,F,6'9,230,24,2016,2,2018-2019,2019,New Mexico State,0.5,206,104,0
C.J. McCollum,Portland Trail Blazers,West,12-Nov-18,G,6'3,190,27,2013,5,2018-2019,2019,Lehigh,0.5,190,86,0
Victor Oladipo,Indiana Pacers,East,5-Nov-18,G,6'4,210,26,2013,5,2018-2019,2019,Indiana,0.5,193,95,0
Russell Westbrook,Oklahoma City Thunder,West,5-Nov-18,G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Giannis Antetokounmpo,Milwaukee Bucks,East,29-Oct-18,F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Stephen Curry,Golden State Warriors,West,29-Oct-18,G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kemba Walker,Charlotte Hornets,East,22-Oct-18,G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Nikola Jokic,Denver Nuggets,West,22-Oct-18,C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Ben Simmons,Philadelphia Sixers,East,9-Apr-18,PF,6'10,230,21,2016,1,2017-2018,2018,LSU,0.5,208,104,0
Nikola Jokic,Denver Nuggets,West,9-Apr-18,C,7'0,250,23,2014,2,2017-2018,2018,KK Mega Bemax (Serbia),0.5,213,113,0
Victor Oladipo,Indiana Pacers,East,2-Apr-18,G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
Damian Lillard,Portland Trail Blazers,West,2-Apr-18,G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
